Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.7293151818587564398101645657,0.729315181858756,0.694739103115243,0.729315181858756,0.694739103115243,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,272023.2
0.02,0,0.6941919574332089252237596651,0.694191957433209,0.659615878689695,0.694191957433209,0.659615878689695,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,544046.4
0.03,0,0.7302187579601070744824905029,0.730218757960107,0.695642679216593,0.730218757960107,0.695642679216593,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,816069.6
0.04,0,0.7454641364107779849015764486,0.745464136410778,0.710888057667264,0.745464136410778,0.710888057667264,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,1088093
0.05,0,0.7529803659807756600434349779,0.752980365980776,0.718404287237262,0.752980365980776,0.718404287237262,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,1360116
0.06,0,0.7569585193791507269991147632,0.756958519379151,0.722382440635637,0.756958519379151,0.722382440635637,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,1632139
0.07,0,0.7591004080525719051390893212,0.759100408052572,0.724524329309058,0.759100408052572,0.724524329309058,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,1904162
0.08,0,0.7602085202522165823089191993,0.760208520252216,0.725632441508703,0.760208520252216,0.725632441508703,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,2176186
0.09,0,0.7607023945744620092670870829,0.760702394574462,0.726126315830948,0.760702394574462,0.726126315830948,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,2448209
0.10,0,0.7608183871820197156722789925,0.76081838718202,0.726242308438506,0.76081838718202,0.726242308438506,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,2720232
0.11,0,0.7606972278372543663220705625,0.760697227837254,0.726121149093741,0.760697227837254,0.726121149093741,0,0,0,0,6.261017617152010,31.56873253828821639236294574,31.56873253828821639236294574,2992255
