#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 5115, 1,VA3NPN,    -0.30, 3,   boost,   -0.00,  86444.00, 1319.67,   -0.19,    0.00, 33.9, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.29, 3,   boost,   -0.00,  86438.00, 1320.23,    0.38,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.28, 3,   boost,   -0.00,  86440.00, 1320.05,    0.19,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.27, 3,   boost,   -0.00,  86449.00, 1319.19,   -0.66,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.26, 3,   boost,   -0.00,  86443.00, 1319.76,   -0.09,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.25, 3,   boost,   -0.00,  86459.00, 1318.25,   -1.61,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.24, 3,   boost,   -0.00,  86424.00, 1321.56,    1.70,    0.00, 33.9, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.23, 3,   boost,   -0.00,  86442.00, 1319.86,    0.00,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.22, 3,   boost,   -0.00,  86457.00, 1318.44,   -1.42,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.21, 3,   boost,   -0.00,  86436.00, 1320.42,    0.57,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.20, 3,   boost,   -0.00,  86441.00, 1319.95,    0.09,    0.00, 33.9, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.19, 3,   boost,   -0.00,  86453.00, 1318.81,   -1.04,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.18, 3,   boost,   -0.00,  86443.00, 1319.76,   -0.09,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.17, 3,   boost,   -0.00,  86436.00, 1320.42,    0.57,    0.00, 33.9, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.16, 3,   boost,   -0.00,  86430.00, 1320.99,    1.14,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.15, 3,   boost,   -0.00,  86449.00, 1319.19,   -0.66,    0.00, 33.9, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
6, 5115, 1,VA3NPN,    -0.14, 3,   boost,   -0.00,  86437.00, 1320.33,    0.47,    0.00, 34.0, 0.00, 0.00, 3.87, 1, 1, 11,  32.9395046,-106.9114515,  1390.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,2147483647.0,2147483647.0,  0, 36, 25,  0,  0, 27,  0,  0,  0,  0, 33, 36, 25, 21,  0,  0, 33,  0, 25, 32,  0,  0,  0, 34,  0,  0,  0,  0,  0, 33,  0,  0
