#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 6583, 3,VE3LIC,    -0.30, 3,   boost,    1.47,  86334.00, 1330.09,    0.28,     NaN, 33.4, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,   0.00,  -0.06,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.29, 3,   boost,   -1.47,  86336.00, 1329.90,    0.09,     NaN, 33.4, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.28, 3,   boost,   -0.00,  86346.00, 1328.95,   -0.85,     NaN, 33.5, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.27, 3,   boost,   -0.98,  86330.00, 1330.46,    0.66,     NaN, 33.5, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.26, 3,   boost,    0.98,  86347.00, 1328.85,   -0.95,     NaN, 33.4, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.25, 3,   boost,   -1.96,  86342.00, 1329.33,   -0.47,     NaN, 33.4, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.24, 3,   boost,   -0.98,  86337.00, 1329.80,    0.00,     NaN, 33.4, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.23, 3,   boost,   -0.49,  86334.00, 1330.09,    0.28,     NaN, 33.4, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.22, 3,   boost,   -1.47,  86340.00, 1329.52,   -0.28,     NaN, 33.4, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.21, 3,   boost,   -0.49,  86333.00, 1330.18,    0.38,     NaN, 33.4, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
6, 6583, 3,VE3LIC,    -0.20, 3,   boost,   -0.98,  86338.00, 1329.71,   -0.09,     NaN, 33.5, 4.00, 3.98, 3.98,   0.00,   0.00,   0.00,  64.15,  64.46,   0.00,   0.00,   0.00,   0.00,    NaN, 4.01, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9395109,-106.9114318,  1394.0, 2022,  6, 24, 15, 17, 16,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0, 31, 31,  0,  0, 32,  0,  0,  0,  0, 32, 36, 31, 27,  0,  0, 35,  0, 31, 29,  0,  0,  0, 27,  0,  0,  0,  0,  0, 31,  0,  0
